URL_SCL_E,Time,Duration,Name,Available Slots,Trainer,Room
https://www.eversports.de/e/class/joj2vZq,17:15,45 Min,Floorshapes & Technik,"ab 10,00 €●Alle Level5/8 Plätzen verfügbar",Becca,Unbekannt
https://www.eversports.de/e/class/R9PEPGr,18:00,60 Min,Pole Shapes/Combos fortg.Beginner,"ab 20,00 €●Anfängerausgebucht",Josefine,Unbekannt
https://www.eversports.de/e/class/UVpvSbM,19:00,60 Min,Stretching,"ab 18,00 €●Alle Level3/10 Plätzen verfügbar",Josefine,Unbekannt
https://www.eversports.de/e/class/5HbPrl0,20:00,60 Min,Pole Heels (Choreo),"ab 20,00 €●Anfänger2/6 Plätzen verfügbar",Josefine,Unbekannt
https://www.eversports.de/e/class/pymehhp,18:00,60 Min,Pole Beginner und Intermediate Technik,"ab 20,00 €●Alle Level1/7 Plätzen verfügbar",Annika,Unbekannt
https://www.eversports.de/e/class/UGusBc-,19:00,60 Min,Pole Contemporary (Beginner Choreo),"ab 20,00 €●Anfänger2/6 Plätzen verfügbar",Annika,Unbekannt
https://www.eversports.de/e/class/xnzp2q3,18:00,60 Min,Pole Beginner Flows,"ab 20,00 €●Anfänger3/6 Plätzen verfügbar",Josefine,Unbekannt
https://www.eversports.de/e/class/Y-_0lPA,19:00,60 Min,Pole First Steps Technik,"ab 20,00 €●Anfänger1/7 Plätzen verfügbar",Josefine,Unbekannt
https://www.eversports.de/e/class/kDK9g-G,17:30,60 Min,Pole First Steps Technik,"ab 20,00 €●Anfänger3/6 Plätzen verfügbar",Becca,Unbekannt
https://www.eversports.de/e/class/T6xsYsC,18:30,60 Min,Pole Beginner,"ab 20,00 €●Anfänger3/7 Plätzen verfügbar",Annika,Unbekannt
https://www.eversports.de/e/class/b3S-J7x,19:30,60 Min,Pole Intermediate,"ab 20,00 €●Intermediate1/7 Plätzen verfügbar",Annika,Unbekannt
https://www.eversports.de/e/class/4VRKgHA,17:30,60 Min,Stretching,"ab 20,00 €●Alle Level5/8 Plätzen verfügbar",Becca,Unbekannt
https://www.eversports.de/e/class/_kxIUyD,18:30,60 Min,Floorwork Heels (Choreo),"ab 20,00 €●Alle Level5/8 Plätzen verfügbar",Becca,Unbekannt
https://www.eversports.de/e/class/_QtWKeC,19:30,60 Min,Chairdance,"ab 20,00 €4/8 Plätzen verfügbar",Becca,Unbekannt
https://www.eversports.de/e/class/joj2vZq,17:15,45 Min,Floorshapes & Technik,"ab 10,00 €●Alle Level5/8 Plätzen verfügbar",Becca,Unbekannt
https://www.eversports.de/e/class/R9PEPGr,18:00,60 Min,Pole Shapes/Combos fortg.Beginner,"ab 20,00 €●Anfängerausgebucht",Josefine,Unbekannt
https://www.eversports.de/e/class/UVpvSbM,19:00,60 Min,Stretching,"ab 18,00 €●Alle Level3/10 Plätzen verfügbar",Josefine,Unbekannt
https://www.eversports.de/e/class/5HbPrl0,20:00,60 Min,Pole Heels (Choreo),"ab 20,00 €●Anfänger2/6 Plätzen verfügbar",Josefine,Unbekannt
https://www.eversports.de/e/class/pymehhp,18:00,60 Min,Pole Beginner und Intermediate Technik,"ab 20,00 €●Alle Level1/7 Plätzen verfügbar",Annika,Unbekannt
https://www.eversports.de/e/class/UGusBc-,19:00,60 Min,Pole Contemporary (Beginner Choreo),"ab 20,00 €●Anfänger2/6 Plätzen verfügbar",Annika,Unbekannt
https://www.eversports.de/e/class/xnzp2q3,18:00,60 Min,Pole Beginner Flows,"ab 20,00 €●Anfänger3/6 Plätzen verfügbar",Josefine,Unbekannt
https://www.eversports.de/e/class/Y-_0lPA,19:00,60 Min,Pole First Steps Technik,"ab 20,00 €●Anfänger1/7 Plätzen verfügbar",Josefine,Unbekannt
https://www.eversports.de/e/class/kDK9g-G,17:30,60 Min,Pole First Steps Technik,"ab 20,00 €●Anfänger3/6 Plätzen verfügbar",Becca,Unbekannt
https://www.eversports.de/e/class/T6xsYsC,18:30,60 Min,Pole Beginner,"ab 20,00 €●Anfänger3/7 Plätzen verfügbar",Annika,Unbekannt
https://www.eversports.de/e/class/b3S-J7x,19:30,60 Min,Pole Intermediate,"ab 20,00 €●Intermediate1/7 Plätzen verfügbar",Annika,Unbekannt
https://www.eversports.de/e/class/4VRKgHA,17:30,60 Min,Stretching,"ab 20,00 €●Alle Level5/8 Plätzen verfügbar",Becca,Unbekannt
https://www.eversports.de/e/class/_kxIUyD,18:30,60 Min,Floorwork Heels (Choreo),"ab 20,00 €●Alle Level5/8 Plätzen verfügbar",Becca,Unbekannt
https://www.eversports.de/e/class/_QtWKeC,19:30,60 Min,Chairdance,"ab 20,00 €4/8 Plätzen verfügbar",Becca,Unbekannt
https://www.eversports.de/e/class/z9TuLfPck22,09:00,60 Min,HATHA Flow ● DE,Alle Level,Lydia,Unbekannt
https://www.eversports.de/e/class/2I-psODybF9,09:30,75 Min,YIN Special: Spring Awakening ● EN,"ab 5,00 €",Martina,Unbekannt
https://www.eversports.de/e/class/1aGK5K0VIuAq,10:30,70 Min,Detox & Reset Class ● EN,"ab 5,00 €●Alle Level",Martina,Unbekannt
https://www.eversports.de/e/class/_lHYS4aPH-D,12:30,60 Min,Jivamukti Open 60 ● SPIRITUAL WARRIOR ● EN,Alle Level,Viki,Unbekannt
https://www.eversports.de/e/class/U8RwHNM3Mhy,12:30,60 Min,MOBILITY based flow ● EN,"ab 5,00 €●Alle Level",Mireia,Unbekannt
https://www.eversports.de/e/class/QC5xHzvP0YV,16:30,60 Min,"CALISTHENICS, MOVEMENT & MOBILITY",Alle Level,Frank,Unbekannt
https://www.eversports.de/e/class/EAXa3dl9y2D,16:30,60 Min,Vinyasa Recharge • EN,,Ulrike,Unbekannt
