Workshop Name,Beschreibung,Studio Name,Location,Category,Date,URL_E,Time
,"7x90 Min. Dieser „geschlossene“ Grundkurs ist perfekt, um deine Yogareise zu beginnen, dein Fundament zu bilden und unsere authentischen Yoga-Art kennenzulernen – dich und deine Art kennenzulernen. Dieser Kurs richtet sich an diejenigen, die noch unerfahren in Sachen Yoga sind oder an alle die unseren Yogastil noch nicht kennen. Auch wenn du etwas aus der Übung bist oder du die Dinge einfach simpel und pur halten möchtest, bist du hier ganz herzlich willkommen. Entspannt, herzlich und detailverliebt vermitteln wir dir den sanften Fluss von Yogapositionen (Asanas), sowie achtsame und simple Übergänge von einer Bewegung zur nächsten. Eine ganz essentielle Rolle spielen in diesem Kurs auch beruhigende, belebende, effektive und vor allem gut anwendbare Atemtechniken (Pranayama). Im Laufe des Kurses wirst du dich belebter, ausgeglichener, gesünder fühlen und dich daran erinnern, wie es ist dich selbst wieder bewusster wahrzunehmen. Vielleicht bemerkst du selbst all die Veränderungen zunächst nicht, aber deine Lieben und Freunde werden es ganz sicher. Bring bitte bequeme Kleidung, deine kindliche Neugier und ein offenes Herz mit.  Unser Yoga-Team kümmert sich um alles andere. Schön, dass es dich gibt, wir freuen uns sehr dich auf deiner Reise ein Stück des Weges begleiten zu dürfen.",Niyaha Yoga Susann Kind,16:30 - 18:00,Yoga,"Beginnt am Montag, 29. Januar 2024",https://www.eversports.de/e/workshop/u0m4PpJ,"Nachtigallenstraße 13, 98617 Meiningen"
,"Die kraftvolle Ruhe entwickeln, dich an dich selbst zu erinnern, erneut kennen - und sehen- lernen. in diesem 5 Wochenkurs erleben wir gemeinsam: Meditation, tiefe Entspannung, sanfte somatische Bewegungen, Atmung, Rituale, Achtsamkeit, Journaling und Alltags-Retter wenn wir uns selbst anzweifeln. Komm und erlaube dir deine Kraftquellen aufzuladen und auszuleben. ich freue mich sehr auf dich! deine Susann",Niyaha Yoga Susann Kind,15:30 - 16:30,Stress Release Yoga,"Beginnt am Dienstag, 30. Januar 2024",https://www.eversports.de/e/workshop/Qph3Nhi,"Nachtigallenstraße 13, 98617 Meiningen"
,"Von Zeit zu Zeit lohnt sich eine Innenschau um zu überprüfen, ob der Weg den du gehst noch der deine ist. Eine Möglichkeiten diese Anhaftungen loszulassen ist das ganze System mal ordentlich durchzuschütteln um zu sehen, was wirklich in dir verwurzelt ist und was lediglich oberflächlicher Ballast ist, den du mit dir herumträgst. Eine kraftvolle Asana-Praxis wird dich unterstützen zu deiner Authentizität zu finden. Fordere dich heraus, schau dir deine Komfortzone an, verlasse sie eventuell ein kleines Stück um in die unbekannte Freiheit dahinter zu treten.",Niyaha Yoga Susann Kind,Beyond Boundaries,Yoga,"Samstag, 17. Februar 2024",https://www.eversports.de/e/workshop/cnaEonv,16:00 - 18:00
,"Thema: 'geerdetes Fliegen' Alles in unserem Universum und Körper befindet sich in permanenter Schwingung und diese Schwingung schenkt uns Menschen ein Gefühl des Verbunden-seins, wenn sie auf Resonanz stößt. Mit anderen Worten, seit Jahrtausenden verbindet die Menschheit Musik und Klang. Musik und heilsame Klänge können Emotionen auslösen/sichtbar machen und sogar unbewusst helfen, geistige und muskuläre Blockaden aufzulösen. Heilsame Klänge verschiedener Instrumente, der Stimme und Meditationen begleiten dich in die vollkommene Entspannung. Komm an, lege dich auf die Erde, auf deine Matte und tauche ein. Es gibt nichts zu tun, außer dich auszuruhen, zu lauschen - dem Klang deines Herzens. Julia und Susann laden dich ein, in den Raum der Klänge, in tiefe Entspannung und nehmen dich mit zu einem Ort welcher schon immer da ist, in dir - deine Stille kraftvolle Quelle.",Niyaha Yoga Susann Kind,Klangbad mit sanftem Gesang (inkl.MwSt),Meditation,"Sonntag, 18. Februar 2024",https://www.eversports.de/e/workshop/VVUAlSC,16:00 - 17:30
,"Ohne Pole / alle Level Der Workshop findet auf Englisch statt: In this class we will learn a choreography based on basic elements. We will work with musicality and energy. Frame Up is a dynamic heels dance style incorporating exploratory movement, intricate technique, and captivating energy based on strip plastic. At the end we can make video shooting if you want :) What-to-bring:It’s better to wear comfortable clothes during class. You can either wear shoes (Plateau-Heels), or be barefoot/in socks. It is advisable to take knee pads with you About Anna:My name is Anna. I have 10 years of dance experience and have participated in many dance competitions. I easily find a common language with different people, I know how to set students up for productive work and a good mood. I am ex-member of the dance team: frame up strip under the direction of Anastasia Yurasova.",Vertical - Pole Aerial Dance,"Mühlstraße 100, 63741 Aschaffenburg",Tanz,"Samstag, 3. Februar 2024",https://www.eversports.de/e/workshop/u2GaG-M,13:30 - 15:00
,"Alle Level / ohne Pole Aber dafür mit einem Stuhl :) lerne mit uns eine sinnliche Choreo auf und um einen Chair. Wir konzentrieren uns auf dich und die Musik und entwickeln ganz nebenbei Körperbewusstsein und Selbstbewusstein. Du benötigst keine Vorerfahrung und ziehe gerne an, worin du dich wohl fühlst! Du hast in diesem Workshop einen Stuhl nur für dich.",Vertical - Pole Aerial Dance,"Mühlstraße 100, 63741 Aschaffenburg",Tanz,"Samstag, 17. Februar 2024",https://www.eversports.de/e/workshop/ogqaXAU,11:00 - 12:30
,"Wer schon immer eine sexy, hypnotische und zu gleich graziöse Choreografie an der Pole erlernen wollte, ist hier genau richtig, ob in High Heels oder ohne, wir erlernen nicht nur eine kleine Choreo mit fließenden Bewegungen aus dem Bereich des Exotic Poledance, sondern finden auch ein Stück mehr zu unserem Selbstbewusstsein und unserer Weiblichkeit. --> um euch anzumelden schreibt mir bitte einer Email oder auf WhatsApp/Instagram --> eine kostenlose Stornierung ist 24 Stunden vor Kursbeginn möglich, möchtet ihr danach stornieren, ist die volle Kursgebühr zu entrichten --> bucht ihr beide Workshops (Heels Pole und Floorplay) kostet es insgesamt nur 90,00 Euro",PoleFit Aline Sustrath,17:30 - 19:00,Poledance,"Freitag, 26. Januar 2024",https://www.eversports.de/e/workshop/cMAYTid,17:30 - 19:00
,"Bei diesem Workshop konzentrieren wir uns auf sinnliche Bewegungen ausschließlich auf dem Boden, in Kombination mit Kontakt zur Pole. Es werden viele Elemente aus dem Bereich der Strip Plastic und auch aus dem Exotik Poledance in der Choreografie zu finden sein. Auch bei diesem Workshop steht unsere Weiblichkeit im Vordergrund. Bitte bringt lange Sporthosen, Socken und ein paar Knieschoner mit. --> Geeignet für jedes Level ---> bucht ihr beide Workshops (Heels Pole und Floorplay) kostet es insgesamt nur 90,00 Euro --> um euch anzumelden schreibt mir bitte einer Email oder auf WhatsApp/Instagram --> eine kostenlose Stornierung ist 24 Stunden vor Kursbeginn möglich, möchtet ihr danach stornieren, ist die volle Kursgebühr zu entrichten",PoleFit Aline Sustrath,19:30 - 21:00,Poledance,"Freitag, 26. Januar 2024",https://www.eversports.de/e/workshop/VKmdxO2,19:30 - 21:00
,"Burlesque-Workshop für Einsteiger:innen mit Burlesque-Künstlerin Chouchou Magique   Lerne die wundervoll glamouröse und verführerische Kunst des Burlesque kennen! In diesem Workshop schnuppern wir in die Burlesque Basics und lernen eine kleine, einfache Choreozu einem klassischen Burlesque-Lied. Ein bisschen Catwalk, ein bisschen Tease und ganz viel Sexyness warten auf dich.  Hast du Lust auf Sinnlichkeit, Eleganz und Spaß? Dann ist dieser Workshop genau das richtige für dich! Dauer: 2 Stunden Vorkenntnisse: Keine Vorkenntnisse notwendig Dozentin: Chouchou Magique Kosten: 70€ inkl. 1 Glas Sekt    Info für Teilnehmer:innen: Als Trainingskleidung eignen sich am besten enge, Körperbetonte Kleidung, in der man sich gut bewegen kann(z.B. Leggings und Tanktop). Gerne auch sexy und/oder zum Thema Burlesque passend. Es wird keine Kleidung ausgezogen.  Für das Catwalk-Warm-up auch gerne hohe Schuhe mitbringen, in denen man gut laufen kann. Barfuß ist aber auch kein Problem.  Link: https://saarland-burlesque-society.de/",PoleFit Aline Sustrath,Burlesque Workshop,Poledance,"Samstag, 2. März 2024",https://www.eversports.de/e/workshop/F0nh2br,16:00 - 18:00
,"Endlich ist POLE FLOW zurück - 90 Minuten pure Poleliebe! Wir widmen uns einer abwechslungsreichen Choreografie in langer Hose. Dich erwarten schnelle Wechsel, weiche Bewegungen und fließende Übergänge. Der Fokus liegt auf eleganten Spinkombinationen und bodenakrobatischen Elementen. Song: Deep End - Ruelle",Pure Motion Kiel,"Eichkamp 1-5, 24116 Kiel",Poledance,"Sonntag, 18. Februar 2024",https://www.eversports.de/e/workshop/Z1qnkVh,13:30 - 15:00
