Workshop Name,Workshop Date,Workshop Price,Workshop Units,Workshop Studio,Workshop Address,URL_E
Aerial Kids Workshop: Luftring Beginner,Juni16Sonntag,"ab 30,00 €",1 Einheit,schwerelos Münster,"Weseler Straße 675D, 48163 Münster",https://www.eversports.de/e/workshop/Zq0GQNB
Aerial Kids Workshop: Vertikaltuch FORTGESCHRITTENE,Juni16Sonntag,"ab 30,00 €",1 Einheit,schwerelos Münster,"Weseler Straße 675D, 48163 Münster",https://www.eversports.de/e/workshop/xPGUjbS
Acro Yoga Workshop,Jan27bis Feb 10,"ab 0,00 €",2 Einheiten,Polefriends Halle,"36-38 Leipziger Straße -, 06108 Halle (Saale)",https://www.eversports.de/e/workshop/NMiVGZD
Acro Yoga Workshop,Jan27bis Feb 10,"ab 0,00 €",2 Einheiten,Polefriends Halle,"36-38 Leipziger Straße -, 06108 Halle (Saale)",https://www.eversports.de/e/workshop/NMiVGZD
All About Forearmstand (4 Wochen Online Intensivkurs) ,Jan07bis Jan 28,Ausgebucht,4 Einheiten,Yoga and Pole Art by Selina,"Online *, World Wide",https://www.eversports.de/e/workshop/WN-XHxi
Spinning Pole Combos Intermediate Online Workshop,Feb11Sonntag,"ab 44,00 €",1 Einheit,Yoga and Pole Art by Selina,"Online *, World Wide",https://www.eversports.de/e/workshop/dhAWne_
Kopfstand Technik Online Workshop ,Feb24Samstag,"ab 44,00 €",1 Einheit,Yoga and Pole Art by Selina,"Online *, World Wide",https://www.eversports.de/e/workshop/p_eKWTW
Atemtechniken Online Workshop ,März09Samstag,"ab 44,00 €",1 Einheit,Yoga and Pole Art by Selina,"Online *, World Wide",https://www.eversports.de/e/workshop/1PmB24I
Split & Straddle Technik Online Workshop ,März22Freitag,"ab 44,00 €",1 Einheit,Yoga and Pole Art by Selina,"Online *, World Wide",https://www.eversports.de/e/workshop/Zk4neM3
Split on Pole (Intermediate) Online Workshop,März29Freitag,"ab 44,00 €",1 Einheit,Yoga and Pole Art by Selina,"Online *, World Wide",https://www.eversports.de/e/workshop/VnmCBGD
Yoga Rad Einsteiger Online Workshop ,Apr06Samstag,"ab 44,00 €",1 Einheit,Yoga and Pole Art by Selina,"Online *, World Wide",https://www.eversports.de/e/workshop/qdYG4WC
Competition Pole Tricks Intermediate & Advanced Level Online Workshop ,Apr12Freitag,"ab 44,00 €",1 Einheit,Yoga and Pole Art by Selina,"Online *, World Wide",https://www.eversports.de/e/workshop/M4MjCdo
Spinning Pole Combos Intermediate Online Workshop,Mai01Mittwoch,"ab 44,00 €",1 Einheit,Yoga and Pole Art by Selina,"Online *, World Wide",https://www.eversports.de/e/workshop/bi8m5zs
Yoga Rad Online Workshop: Schwerpunkt Backbends ,Mai19Sonntag,"ab 44,00 €",1 Einheit,Yoga and Pole Art by Selina,"Online *, World Wide",https://www.eversports.de/e/workshop/ccLkJAE
Poledance Anfänger Workshop - 4 Wochen,Jan05bis Jan 26,"ab 69,00 €",4 Einheiten,PoleRoom Braunschweig,"Büchnerstraße 10, 38118 Braunschweig",https://www.eversports.de/e/workshop/TxFNxWf
Poledance Einsteiger Workshop - 4 Wochen,Jan08bis Jan 29,Ausgebucht,4 Einheiten,PoleRoom Braunschweig,"Büchnerstraße 10, 38118 Braunschweig",https://www.eversports.de/e/workshop/ITccdPW
Aerial Hoop Einsteiger Workshop,Jan30bis Feb 20,"ab 69,00 €",4 Einheiten,PoleRoom Braunschweig,"Büchnerstraße 10, 38118 Braunschweig",https://www.eversports.de/e/workshop/5FIBkpe
Poledance Einsteiger Workshop - 5 Kurse,Feb05bis Feb 26,Ausgebucht,4 Einheiten,PoleRoom Braunschweig,"Büchnerstraße 10, 38118 Braunschweig",https://www.eversports.de/e/workshop/GB5CNr0
Aerial Hoop Double - Workshop,März03Sonntag,"ab 39,00 €",1 Einheit,PoleRoom Braunschweig,"Büchnerstraße 10, 38118 Braunschweig",https://www.eversports.de/e/workshop/1pzXUtZ
Pole Straps Intermediate Workshop,Feb03Samstag,"ab 30,00 €",1 Einheit,Pole and Move Mannheim,"Edisonstraße 20, 68309 Mannheim",https://www.eversports.de/e/workshop/UZAUnxM
Pole Straps Beginner Workshop,Feb03Samstag,"ab 30,00 €",1 Einheit,Pole and Move Mannheim,"Edisonstraße 20, 68309 Mannheim",https://www.eversports.de/e/workshop/-IGRjIZ
Handstand Workshop,März09Samstag,"ab 30,00 €",1 Einheit,Pole and Move Mannheim,"Edisonstraße 20, 68309 Mannheim",https://www.eversports.de/e/workshop/gbofUBp
Aerial Hoop Choreo Workshop ,März09Samstag,"ab 30,00 €",1 Einheit,Pole and Move Mannheim,"Edisonstraße 20, 68309 Mannheim",https://www.eversports.de/e/workshop/NFfn_y6
We love Pancakes - mit Caroline Lange,März22Freitag,"ab 59,00 €",1 Einheit,Pole and Move Mannheim,"Edisonstraße 20, 68309 Mannheim",https://www.eversports.de/e/workshop/miY7n0b
Aerial Hoop Choreo Workshop ,Apr13Samstag,"ab 30,00 €",1 Einheit,Pole and Move Mannheim,"Edisonstraße 20, 68309 Mannheim",https://www.eversports.de/e/workshop/C9b62JT
Handstand Workshop,Apr13Samstag,"ab 30,00 €",1 Einheit,Pole and Move Mannheim,"Edisonstraße 20, 68309 Mannheim",https://www.eversports.de/e/workshop/0fonSE4
Lap Dance - Get Closer! in Quierschied,Feb04Sonntag,"ab 45,00 €",1 Einheit,Aerial Art Poledance,"Holzer Straße 98, 66287 Quierschied",https://www.eversports.de/e/workshop/1pLUOJO
SPAGAT I Intensiv,Jan28Sonntag,"ab 35,00 €",1 Einheit,BALANCE Neumarkt,"Deininger Weg 94, 92318 Neumarkt in der Oberpfalz",https://www.eversports.de/e/workshop/lxu9gbp
POLE SPLITS ,Jan28Sonntag,"ab 35,00 €",1 Einheit,BALANCE Neumarkt,"Deininger Weg 94, 92318 Neumarkt in der Oberpfalz",https://www.eversports.de/e/workshop/CRjs8aS
INVERSIONS I mit dem FeetUp Trainer,Jan28Sonntag,"ab 35,00 €",1 Einheit,BALANCE Neumarkt,"Deininger Weg 94, 92318 Neumarkt in der Oberpfalz",https://www.eversports.de/e/workshop/HlGXT-6
POLE DANCE I Probestunde,Feb03Samstag,"ab 10,00 €",1 Einheit,BALANCE Neumarkt,"Deininger Weg 94, 92318 Neumarkt in der Oberpfalz",https://www.eversports.de/e/workshop/9j7N418
POLE INVERTS I Get up side down,Feb04Sonntag,"ab 35,00 €",1 Einheit,BALANCE Neumarkt,"Deininger Weg 94, 92318 Neumarkt in der Oberpfalz",https://www.eversports.de/e/workshop/AL0d8uV
AERIAL FUN I 8-12 Jahre ,Feb15Donnerstag,"ab 9,00 €",1 Einheit,BALANCE Neumarkt,"Deininger Weg 94, 92318 Neumarkt in der Oberpfalz",https://www.eversports.de/e/workshop/OWKdsKA
DANCE Kids I 4-5 Jahre ,Feb16Freitag,"ab 5,00 €",1 Einheit,BALANCE Neumarkt,"Deininger Weg 94, 92318 Neumarkt in der Oberpfalz",https://www.eversports.de/e/workshop/qtwNW3p
DANCE FUN I 6-8 Jahre ,Feb16Freitag,"ab 5,00 €",1 Einheit,BALANCE Neumarkt,"Deininger Weg 94, 92318 Neumarkt in der Oberpfalz",https://www.eversports.de/e/workshop/-lRCjR7
POLE DANCE Tricks & Spins I Level 4,Feb18Sonntag,"ab 35,00 €",1 Einheit,BALANCE Neumarkt,"Deininger Weg 94, 92318 Neumarkt in der Oberpfalz",https://www.eversports.de/e/workshop/DmdrEre
AERIAL HOOP I Level 1/2,Feb18Sonntag,"ab 35,00 €",1 Einheit,BALANCE Neumarkt,"Deininger Weg 94, 92318 Neumarkt in der Oberpfalz",https://www.eversports.de/e/workshop/vnjpjso
HANDSTAND Vorbereitung,Feb25Sonntag,"ab 35,00 €",1 Einheit,BALANCE Neumarkt,"Deininger Weg 94, 92318 Neumarkt in der Oberpfalz",https://www.eversports.de/e/workshop/s-CvYfY
RÜCKBEUGE I Intensiv,Feb25Sonntag,"ab 35,00 €",1 Einheit,BALANCE Neumarkt,"Deininger Weg 94, 92318 Neumarkt in der Oberpfalz",https://www.eversports.de/e/workshop/lIzIIH9
HANDSTAND Vorbereitung I Teil 2,März03Sonntag,"ab 35,00 €",1 Einheit,BALANCE Neumarkt,"Deininger Weg 94, 92318 Neumarkt in der Oberpfalz",https://www.eversports.de/e/workshop/1hwRppH
ACRO YOGA ,März03Sonntag,"ab 35,00 €",1 Einheit,BALANCE Neumarkt,"Deininger Weg 94, 92318 Neumarkt in der Oberpfalz",https://www.eversports.de/e/workshop/FWO9nVb
POLE STAR I Easy but Beautiful I Julia Pengler ,März10Sonntag,"ab 45,00 €",1 Einheit,BALANCE Neumarkt,"Deininger Weg 94, 92318 Neumarkt in der Oberpfalz",https://www.eversports.de/e/workshop/wHwtdS-
POLE STAR I Static Low Flow I Julia Pengler ,März10Sonntag,"ab 45,00 €",1 Einheit,BALANCE Neumarkt,"Deininger Weg 94, 92318 Neumarkt in der Oberpfalz",https://www.eversports.de/e/workshop/D7_g8hU
 POLE STAR I My favorite Tricks & Combos I Julia Pengler ,März10Sonntag,"ab 45,00 €",1 Einheit,BALANCE Neumarkt,"Deininger Weg 94, 92318 Neumarkt in der Oberpfalz",https://www.eversports.de/e/workshop/yXJE2Qf
AERIAL FUN I 8-12 Jahre ,März28Donnerstag,"ab 9,00 €",1 Einheit,BALANCE Neumarkt,"Deininger Weg 94, 92318 Neumarkt in der Oberpfalz",https://www.eversports.de/e/workshop/WpCq6MN
DANCE Kids I 4-5 Jahre ,Apr03Mittwoch,"ab 5,00 €",1 Einheit,BALANCE Neumarkt,"Deininger Weg 94, 92318 Neumarkt in der Oberpfalz",https://www.eversports.de/e/workshop/uE03gmT
DANCE FUN I 6-8 Jahre ,Apr03Mittwoch,"ab 5,00 €",1 Einheit,BALANCE Neumarkt,"Deininger Weg 94, 92318 Neumarkt in der Oberpfalz",https://www.eversports.de/e/workshop/Nm33K4u
THAI YOGA MASSAGE ,Apr14Sonntag,"ab 35,00 €",1 Einheit,BALANCE Neumarkt,"Deininger Weg 94, 92318 Neumarkt in der Oberpfalz",https://www.eversports.de/e/workshop/U27XEmo
AERIAL HOOP I Probestunde,Apr14Sonntag,"ab 10,00 €",1 Einheit,BALANCE Neumarkt,"Deininger Weg 94, 92318 Neumarkt in der Oberpfalz",https://www.eversports.de/e/workshop/DujyYDr
Tweels - Booty Dance/Twerking Workshop ,Feb17Samstag,"ab 39,00 €",1 Einheit,T-Tanzstück Braunschweig,38104 Braunschweig,https://www.eversports.de/e/workshop/fDL8rwL
Aerial Circus Kids/Teens Kennenlern Workshop ,März01Freitag,"ab 15,00 €",1 Einheit,T-Tanzstück Braunschweig,38104 Braunschweig,https://www.eversports.de/e/workshop/itCOcd3
Partner Akrobatik,Dez12bis Apr 16,"ab 30,00 €",3 Einheiten,Pole Land,"Kölner Straße 336a, 40227 Düsseldorf",https://www.eversports.de/e/workshop/ezegoNQ
Partner Akrobatik ,Jan28Sonntag,"ab 30,00 €",1 Einheit,Pole Land,"Kölner Straße 336a, 40227 Düsseldorf",https://www.eversports.de/e/workshop/mFEme0g
Pole mit Lea,Feb18bis Feb 18,"ab 35,00 €",2 Einheiten,Pole Land,"Kölner Straße 336a, 40227 Düsseldorf",https://www.eversports.de/e/workshop/S8noX1Z
