URL_SCL_E,Time,Duration,Name,Available Slots,Trainer,Room
https://www.eversports.de/e/class/bJSwrb6,17:30,60 Min,Stretching & Mobility,Alle Levelmehr als 5 Plätze,Lilly,Unbekannt
https://www.eversports.de/e/class/_a0XB2H,18:45,60 Min,Pole Conditioning,Alle Levelmehr als 5 Plätze,Lilly,Unbekannt
https://www.eversports.de/e/class/FleK9yk,17:30,75 Min,Pole Tricks & Technik / L1-L2 / Anfänger +,4 freie Plätze,Lilly,Unbekannt
https://www.eversports.de/e/class/8eg_Fzn,19:00,75 Min,Intro to Pole,2 freie Plätze,Lilly,Unbekannt
https://www.eversports.de/e/class/pGdnIjo,17:30,75 Min,Pole Choreografie - High Heels /Alle Level,5 freie Plätze,Lilly,Unbekannt
https://www.eversports.de/e/class/_eZKlLd,19:00,60 Min,Pole Dance Probestunde,Alle Levelmehr als 5 Plätze,Lilly,Unbekannt
https://www.eversports.de/e/class/jFQ2Wr-,10:30,60 Min,Stretching & Mobility,Abgesagt,Unbekannt,Unbekannt
https://www.eversports.de/e/class/M2Se9w8,11:45,75 Min,Freies Training,Abgesagt,Unbekannt,Unbekannt
https://www.eversports.de/e/class/MOyt2Cr,10:00,60 Min,Stretching,4/10 Plätzen verfügbar,Jasmin,Unbekannt
https://www.eversports.de/e/class/6bW-bLn,11:15,90 Min,Anfänger,3/10 Plätzen verfügbar,Laura,Unbekannt
https://www.eversports.de/e/class/52Kbn-g,16:30,60 Min,Hoopworkshop Fortgeschrittene,2/2 Plätzen verfügbar,Steffi,Stretchingraum 1
https://www.eversports.de/e/class/iW_d2ht,16:30,90 Min,Exotic,5/8 Plätzen verfügbar,Anna,Unbekannt
https://www.eversports.de/e/class/w9Wi_--,16:30,90 Min,Anfänger,1/10 Plätzen verfügbar,Steffi,PoleRaum 1
https://www.eversports.de/e/class/mfuJoXW,13:30,90 Min,Mixed,ausgebucht,Steffi,Unbekannt
https://www.eversports.de/e/class/1IPjy1x,16:30,90 Min,Spinning,7/10 Plätzen verfügbar,Laura,Unbekannt
https://www.eversports.de/e/class/VkKM25u,17:00,90 Min,Mittelstufe,2/10 Plätzen verfügbar,Georgina,Unbekannt
https://www.eversports.de/e/class/TKxcuiJ,18:45,60 Min,Stretching // Mittelspagat,3/10 Plätzen verfügbar,Anna,PoleRaum 1
https://www.eversports.de/e/class/nyZe66L,20:00,90 Min,Anfänger,ausgebucht,Anna,PoleRaum 1
https://www.eversports.de/e/class/AIdiKES,17:45,90 Min,Mittelstufe,3/10 Plätzen verfügbar,Steffi,Unbekannt
https://www.eversports.de/e/class/R9kEtuC,19:30,90 Min,Anfänger,5/10 Plätzen verfügbar,Stella,PoleRaum 1
https://www.eversports.de/e/class/461HBcd,18:15,90 Min,Mittelstufe,1/10 Plätzen verfügbar,Laura,Unbekannt
https://www.eversports.de/e/class/hGQgYtI,20:00,90 Min,Anfänger,5/10 Plätzen verfügbar,Laura,PoleRaum 1
