   Workshop Name,Beschreibung,Studio Name,Location,Category,Date,URL_E,Time
Chairdance,"Bist du bereit, deine Tanzleidenschaft auf ein neues Level zu bringen? Möchtest du lernen, wie du deinen Stuhl in eine verführerische Bühne verwandeln und mit deinen Tanzkünsten alle verzaubern kannst? Dann haben wir genau das Richtige für dich! Chairdance ist eine fesselnde Tanzform, bei der du deinen Körper elegant und sinnlich um den Stuhl bewegst und eine beeindruckende Performance erschaffst. Egal, ob du Anfänger oder Fortgeschrittener bist - dieser Workshop ist für jeden geeignet! Was erwartet dich? In diesem Workshop lernst du Selbstbewusstsein aufzubauen, deine Sinnlichkeit zu entdecken und gleichzeitig Spaß an Bewegung und Tanz zu haben. Es ist eine großartige Möglichkeit, deine Fitness zu verbessern und Stress abzubauen, während du gleichzeitig deine Tanzfähigkeiten weiterentwickelst. Bitte bringe eine Leggins, Knieschoner und ein T-Shirt mit zum Workshop. Der Workshop kostet für Mitglieder einen Aufpreis von 6,00€.",Pole and Move Ludwigshafen,Workshop Einzelpreis,Chairdance,"Beginnt am Samstag, 10. Februar 2024",https://www.eversports.de/e/workshop/M1wKpZR,"Raschigstraße 100, 67067 Ludwigshafen am Rhein"
Lapdance Workshop,"Entdecke die Kunst des Lapdance - Sinnlich, Verführerisch und Selbstbewusst! Bist du neugierig darauf, die geheimnisvolle Kunst des Lapdance zu erlernen? Möchtest du lernen, wie du dich sinnlich und selbstbewusst bewegst und deinen Partner mit einer verführerischen Performance begeistern kannst? Dann haben wir genau das Richtige für dich! Der Lapdance ist nicht nur eine körperliche Kunst, sondern auch eine Möglichkeit, dein Selbstbewusstsein zu steigern und dich in deinem Körper wohlzufühlen. Dieser Workshop bietet dir die Chance, dich aus der Komfortzone zu bewegen, dich neu zu entdecken und eine sinnliche Seite an dir zu entfesseln. Unser Lapdance Workshop ist darauf ausgerichtet, dir die Geheimnisse des sinnlichen Tanzes zu enthüllen. In einer vertrauensvollen und respektvollen Atmosphäre wirst du lernen: Unser Workshop ist für Frauen jeden Alters und jeden Tanzniveaus geeignet. Du benötigst keinerlei Vorerfahrung, nur die Lust, dich auszuprobieren und dich in deiner Weiblichkeit zu stärken. Die Choreo wird in diesem Workshop paarweise einstudiert. Der Workshop eignet sich also perfekt dafür, ihn zum Beispiel mit der besten Freundin zu besuchen. Solltest du alleine zum Workshop kommen, ist es auch kein Problem. Dir wird dann ein Trainingspartner zugewiesen. :) Um an diesem Workshop teilzunehmen, brauchst du keinerlei tänzerische Vorerfahrung. Du lernst alles Stück für Stück. Der Workshop kostet für Mitglieder einen Aufpreis von 6,00€.",Pole and Move Ludwigshafen,Workshop Einzelpreis,Exotic,"Beginnt am Samstag, 10. Februar 2024",https://www.eversports.de/e/workshop/xAIHC25,"Raschigstraße 100, 67067 Ludwigshafen am Rhein"
Aerial Hammock Workshop,"Aerial Hammock ist ein Tuch, welches von der Decke hängt. Dabei sollte man das Aerial Hammock allerdings nicht mit dem gemütlichen Abhängen in einer Hängematte verwecheln. Beim Hammock geht es darum, sich durch bestimmte Körperbewegungen so in das Tuch einzudrehen, dass man sich anschließend hängen oder auch fallen lassen kann. Dabei trainierst du automatisch deine Körperspannung. Es werden außerdem verschiedene Tanz- und Akrobatikelemente am Tuch unterrichtet. Du wirst deine Tiefenmuskulatur aufbauen, deine Flexibilität steigern und deine Balance verbessern. Die Elemente und Kombinationen werden in diesem Kurs mit und ohne Spin unterrichtet. Durch die Kombination von Kraft, Flexibilität und der verschiedenen Figuren, eignet sich Aerial Hammock ausgezeichnet als Ergänzung zu deinem Aerial Hoop und Pole-Training. Dieser Workshop kostet für Mitglieder einen Aufpreis von 6€. Aerial Hammock Tücher werden zum Schnuppern im Studio 2x kostenfrei zur Verfügung gestellt.Wir empfehlen Dir Dein eigenes Tuch mitzubringen, wenn Du öfters an den Kursen teilnehmen magst. Gerne beraten wir Dich auch vor Ort. Falls Du das Tuch vor Ort öfters ausleihen musst, berechnen wir eine Gebühr von 10 Euro. Bitte trage keinen Schmuck während des Trainings, da dieser die Tücher beschädigen kann..",Pole and Move Ludwigshafen,"Raschigstraße 100, 67067 Ludwigshafen am Rhein",Aerial Akrobatik,"Samstag, 2. März 2024",https://www.eversports.de/e/workshop/QSBryP0,10:00 - 11:10
Aerial Hoop Bendy Shapes,"Für diesen Kurs ist kein flacher Spagat am Boden notwendig, jedoch solltest du etwas Beweglichkeit in der Hüfte un ein wenig Vorerfahrung am Hoop mitbringen. Es werden verschiedene Bendy Shapes am Hoop trainiert. Der Workshop kostet für Mitglieder einen Aufpreis von 6€.",Pole and Move Ludwigshafen,"Raschigstraße 100, 67067 Ludwigshafen am Rhein",Aerial Akrobatik,"Samstag, 2. März 2024",https://www.eversports.de/e/workshop/VBYd7ZF,11:30 - 12:40
Ashtanga Yoga und Pranayama Online Workshop,"Ashtanga Yoga die bewegte Meditation... In diesem Workshop setzen wir uns intensiv mit den Asanas des Ashtanga Yogas auseinander und tauchen tiefer in die Philosophie des Yogasutras des Patanjalis ein. Ebenso erhält du einen Einblick in die bewegte traditionellen Atemtechniken des Pranayama, den Atemtechniken die eine Vielzahl an positiven Nebeneffekten bei regelmäßiger Übung mit sich bringen. Zur Vertiefung empfehle ich dir die Teilnahme an meinen Ashtanga Yoga Kursen um die Asanas auch außerhalb dieses Workshops zu praktizieren.",Janardana Yoga,"Dieses Studio benutzt Zoom als Streaming Anbieter. Lade dir die entsprechende App auf deinen Laptop, Tablet oder Smartphone herunter",Ashtanga Yoga,"Begann am Freitag, 29. September 2023",https://www.eversports.de/e/workshop/JSyT_z8,Online
Chairdance Workshop 2.0,Wichtig! Es handelt sich um den selben Workshop wie am 16.12! Lerne eine wundervolle Chair Dance Choreo! Dieser Workshop ist für jeden geeignet! Du benötigst keinerlei Voraussetzung <3,PoleCreation,Einzelticket,Fitness,"Samstag, 30. Dezember 2023",https://www.eversports.de/e/workshop/wZihX9z,10:30 - 11:30
Heels Pole,"Wer schon immer eine sexy, hypnotische und zu gleich graziöse Choreografie an der Pole erlernen wollte, ist hier genau richtig, ob in High Heels oder ohne, wir erlernen nicht nur eine kleine Choreo mit fließenden Bewegungen aus dem Bereich des Exotic Poledance, sondern finden auch ein Stück mehr zu unserem Selbstbewusstsein und unserer Weiblichkeit. --> um euch anzumelden schreibt mir bitte einer Email oder auf WhatsApp/Instagram --> eine kostenlose Stornierung ist 24 Stunden vor Kursbeginn möglich, möchtet ihr danach stornieren, ist die volle Kursgebühr zu entrichten --> bucht ihr beide Workshops (Heels Pole und Floorplay) kostet es insgesamt nur 90,00 Euro",PoleFit Aline Sustrath,17:30 - 19:00,Poledance,"Freitag, 26. Januar 2024",https://www.eversports.de/e/workshop/cMAYTid,17:30 - 19:00
Floorplay,"Bei diesem Workshop konzentrieren wir uns auf sinnliche Bewegungen ausschließlich auf dem Boden, in Kombination mit Kontakt zur Pole. Es werden viele Elemente aus dem Bereich der Strip Plastic und auch aus dem Exotik Poledance in der Choreografie zu finden sein. Auch bei diesem Workshop steht unsere Weiblichkeit im Vordergrund. Bitte bringt lange Sporthosen, Socken und ein paar Knieschoner mit. --> Geeignet für jedes Level ---> bucht ihr beide Workshops (Heels Pole und Floorplay) kostet es insgesamt nur 90,00 Euro --> um euch anzumelden schreibt mir bitte einer Email oder auf WhatsApp/Instagram --> eine kostenlose Stornierung ist 24 Stunden vor Kursbeginn möglich, möchtet ihr danach stornieren, ist die volle Kursgebühr zu entrichten",PoleFit Aline Sustrath,19:30 - 21:00,Poledance,"Freitag, 26. Januar 2024",https://www.eversports.de/e/workshop/VKmdxO2,19:30 - 21:00
Einführung Burlesque World,"Lerne die wundervoll glamouröse und verführerische Kunst des Burlesque kennen! In diesem Workshop schnuppern wir in die Burlesque Basics und lernen eine kleine Choreo. Der Workshop stellt vor allem Spaß an der eigenen Sexyness und Wohlfühlen in den Vordergrund, die Teilnehmenden brauchen keine besonderen Vorkenntnisse oder körperlichen Eigenschaften, Grundfitness genügt. Die Choreo wird nicht das komplette Lied abdecken, sondern an einem in der Musik passenden Part enden. Wir werden uns in der Choreo keine Kleidung ablegen. Am Ende werden die Teilnehmenden eine kleine Choreo beherrschen, die sich beliebig erweitern lässt.    Der Workshop wird 2 Stunden dauern und besteht aus folgenden Inhalten: - Begrüßung, Gläschen Sekt und allgemeine Einführung ins Thema Burlesque - Warm-up  - Einführung Burlesque Grundlagen (Posing, Shimmy, Teasing) - Catwalk-Grundlagen - kleine Burlesque-Choreo, die die Grundlagen mit einbezieht - Cool down  - Auf Wunsch noch Gruppenfoto   im Preis inkludiert:   - Begrüßungssekt (ca. 1 Glas pro Person, Sekt bringe ich mit) - Deko zum Thema Burlesque (Bücher, kleine Kostümteile) - Deko mit einem meiner Kostüme auf einer Schneiderpuppe inkl. meiner großen Federfächer --> mind. 10 Teilnehmer",PoleFit Aline Sustrath,Burlesque Workshop,Poledance,"Samstag, 2. März 2024",https://www.eversports.de/e/workshop/F0nh2br,16:00 - 18:00
Aerial Loops Workshop,"Aerial Loops oder auch Straps Loops genannt sind eine relativ neue Form der Luftakrobatik. Was ist das? 2 lange Schlaufen, die von der Decke hängen - wie Loops.  Und dir so neue Möglichkeiten bieten, Tricks und Moves in der Luft zu machen. Joana  - .unsere professionelle Luftaktrobatin zeigt dir wie. Lust auf was Neusesß Dann meld dich an.  Aerial Loops or Straps loops are a relatively new art of aerial acrobatics. Whats that? These are 2 long loops hanging from the roof and offers you nice & playfull combinations in the air. Simply as aerial hammock or silk - but different. This workshop is for intermediate aerialists or polers who wants to try it. Learn tricks, combos & technique and explore yourself in a new way! Clothing: long pants & long shirt Price: €35 / €30 for poda members / per person Try it!",poda Studio,"10-12 Martinstraße Innenhof, 52062 Aachen",Aerial Akrobatik,"Samstag, 13. Januar 2024",https://www.eversports.de/e/workshop/5Qka0Ok,13:00 - 14:30
