Workshop Name,Workshop Date,Workshop Price,Workshop Units,Workshop Studio,Workshop Address,URL_E
Heels Choreo (Beginner) mit Lea ,Jan21Sonntag,"ab 35,00 €",1 Einheit,Pole-Formance,"Beckumer Straße 24, 59555 Lippstadt",https://www.eversports.de/e/workshop/2O7oiCT
Step Dance Choreographie,Jan06Samstag,"ab 10,00 €",1 Einheit,PoleathletiX,"Industriestr 10, 22927 Celle",https://www.eversports.de/e/workshop/uIvRdHh
Jumping Fitness,Jan08Montag,"ab 10,00 €",1 Einheit,PoleathletiX,"Industriestr 10, 22927 Celle",https://www.eversports.de/e/workshop/piuFbQ5
Polefitness Kids,Jan10bis Jan 31,"ab 43,00 €",4 Einheiten,PoleathletiX,"Industriestr 10, 22927 Celle",https://www.eversports.de/e/workshop/bFfG7kg
Pilates - die sanfte Kraft,Jan11bis März 14,"ab 12,00 €",10 Einheiten,PoleathletiX,"Industriestr 10, 22927 Celle",https://www.eversports.de/e/workshop/fWcLCKr
Polefitness Schnuppertraining ,Jan12bis Feb 02,"ab 12,00 €",4 Einheiten,PoleathletiX,"Industriestr 10, 22927 Celle",https://www.eversports.de/e/workshop/Tb_3jSS
Jumping Fitness,Jan15Montag,"ab 10,00 €",1 Einheit,PoleathletiX,"Industriestr 10, 22927 Celle",https://www.eversports.de/e/workshop/kC_8RI-
Twerk it ,Jan20Samstag,"ab 8,00 €",1 Einheit,PoleathletiX,"Industriestr 10, 22927 Celle",https://www.eversports.de/e/workshop/REAi0sj
MamiFit-YoungMamaFit,Feb08bis Apr 11,"ab 13,00 €",10 Einheiten,PoleathletiX,"Industriestr 10, 22927 Celle",https://www.eversports.de/e/workshop/csrqGyT
Urban Retreat: Winter Magie & Innere Einkehr,Dez29Freitag,"ab 75,00 €",1 Einheit,YOGA at Lobe Block,"Böttgerstraße 16, 13357 Berlin",https://www.eversports.de/e/workshop/b-LAHMn
NEW YEAR Yoga & Gong Workshop with White Sound,Jan01Montag,"ab 55,00 €",1 Einheit,YOGA at Lobe Block,"Böttgerstraße 16, 13357 Berlin",https://www.eversports.de/e/workshop/0nDlAHx
Radiant Rest with Yin Yoga & Gong Sound Bath,Jan07Sonntag,"ab 18,00 €",1 Einheit,YOGA at Lobe Block,"Böttgerstraße 16, 13357 Berlin",https://www.eversports.de/e/workshop/BjFWuvA
BUDOKON WORKSHOP with Winnie & Anja,Jan13Samstag,"ab 50,00 €",1 Einheit,YOGA at Lobe Block,"Böttgerstraße 16, 13357 Berlin",https://www.eversports.de/e/workshop/w_3o5kg
ASSIST WORKSHOP: TWIST ASSISTS with Juan Sierra,Jan20Samstag,"ab 55,00 €",1 Einheit,YOGA at Lobe Block,"Böttgerstraße 16, 13357 Berlin",https://www.eversports.de/e/workshop/sf7XSTZ
Jump Back Jump Through Foundations of Ashtanga Yoga with Melina & Alex,März02Samstag,"ab 38,00 €",1 Einheit,YOGA at Lobe Block,"Böttgerstraße 16, 13357 Berlin",https://www.eversports.de/e/workshop/5WFQ4Sn
Spagat,Feb05bis Feb 26,Ausgebucht,4 Einheiten,Luftbonbon,"Königstraße 45, 32547 Bad Oeynhausen",https://www.eversports.de/e/workshop/60kU5cU
Aerial Loops Workshop,Jan13Samstag,"ab 35,00 €",1 Einheit,poda Studio,"10-12 Martinstraße Innenhof, 52062 Aachen",https://www.eversports.de/e/workshop/5Qka0Ok
Handstands on Pole Workshop,Jan20Samstag,"ab 35,00 €",1 Einheit,poda Studio,"10-12 Martinstraße Innenhof, 52062 Aachen",https://www.eversports.de/e/workshop/mmIS0hG
How to invert Workshop,Jan20Samstag,"ab 35,00 €",1 Einheit,poda Studio,"10-12 Martinstraße Innenhof, 52062 Aachen",https://www.eversports.de/e/workshop/5id4nVo
Rock Hard Style High Heels Pole Workshop,Feb04Sonntag,"ab 35,00 €",1 Einheit,poda Studio,"10-12 Martinstraße Innenhof, 52062 Aachen",https://www.eversports.de/e/workshop/LAHNDF-
Hip Hop Pole Choreo Workshop,März16Samstag,"ab 35,00 €",1 Einheit,poda Studio,"10-12 Martinstraße Innenhof, 52062 Aachen",https://www.eversports.de/e/workshop/2f93D4_
POLE TRICKS I Flip it like its hot,Jan14Sonntag,"ab 35,00 €",1 Einheit,BALANCE Neumarkt,"Deininger Weg 94, 92318 Neumarkt in der Oberpfalz",https://www.eversports.de/e/workshop/y4Xf51X
EXOTIC POLE I ab Level 2,Jan14Sonntag,"ab 35,00 €",1 Einheit,BALANCE Neumarkt,"Deininger Weg 94, 92318 Neumarkt in der Oberpfalz",https://www.eversports.de/e/workshop/Zp9bPAd
POLE DANCE I Probestunde,Jan14Sonntag,"ab 10,00 €",1 Einheit,BALANCE Neumarkt,"Deininger Weg 94, 92318 Neumarkt in der Oberpfalz",https://www.eversports.de/e/workshop/ofcdL5R
ACRO YOGA ,Jan21Sonntag,"ab 35,00 €",1 Einheit,BALANCE Neumarkt,"Deininger Weg 94, 92318 Neumarkt in der Oberpfalz",https://www.eversports.de/e/workshop/vP3iPub
THAI YOGA MASSAGE I Kopf und Nacken,Jan21Sonntag,"ab 35,00 €",1 Einheit,BALANCE Neumarkt,"Deininger Weg 94, 92318 Neumarkt in der Oberpfalz",https://www.eversports.de/e/workshop/Z8REpQ1
AERIAL HOOP I Probestunde,Jan21Sonntag,"ab 10,00 €",1 Einheit,BALANCE Neumarkt,"Deininger Weg 94, 92318 Neumarkt in der Oberpfalz",https://www.eversports.de/e/workshop/BFImvPj
SPAGAT I Intensiv,Jan28Sonntag,"ab 35,00 €",1 Einheit,BALANCE Neumarkt,"Deininger Weg 94, 92318 Neumarkt in der Oberpfalz",https://www.eversports.de/e/workshop/lxu9gbp
POLE SPLITS ,Jan28Sonntag,"ab 35,00 €",1 Einheit,BALANCE Neumarkt,"Deininger Weg 94, 92318 Neumarkt in der Oberpfalz",https://www.eversports.de/e/workshop/CRjs8aS
INVERSIONS I mit dem FeetUp Trainer,Jan28Sonntag,"ab 35,00 €",1 Einheit,BALANCE Neumarkt,"Deininger Weg 94, 92318 Neumarkt in der Oberpfalz",https://www.eversports.de/e/workshop/HlGXT-6
POLE DANCE I Probestunde,Feb04Sonntag,"ab 10,00 €",1 Einheit,BALANCE Neumarkt,"Deininger Weg 94, 92318 Neumarkt in der Oberpfalz",https://www.eversports.de/e/workshop/9j7N418
POLE INVERTS I Get up side down,Feb04Sonntag,"ab 35,00 €",1 Einheit,BALANCE Neumarkt,"Deininger Weg 94, 92318 Neumarkt in der Oberpfalz",https://www.eversports.de/e/workshop/AL0d8uV
POLE DANCE I Level 4,Feb18Sonntag,"ab 35,00 €",1 Einheit,BALANCE Neumarkt,"Deininger Weg 94, 92318 Neumarkt in der Oberpfalz",https://www.eversports.de/e/workshop/DmdrEre
HANDSTAND Vorbereitung,Feb25Sonntag,"ab 35,00 €",1 Einheit,BALANCE Neumarkt,"Deininger Weg 94, 92318 Neumarkt in der Oberpfalz",https://www.eversports.de/e/workshop/s-CvYfY
RÜCKBEUGE I Intensiv,Feb25Sonntag,"ab 35,00 €",1 Einheit,BALANCE Neumarkt,"Deininger Weg 94, 92318 Neumarkt in der Oberpfalz",https://www.eversports.de/e/workshop/lIzIIH9
HANDSTAND Vorbereitung I Teil 2,März03Sonntag,"ab 35,00 €",1 Einheit,BALANCE Neumarkt,"Deininger Weg 94, 92318 Neumarkt in der Oberpfalz",https://www.eversports.de/e/workshop/1hwRppH
ACRO YOGA ,März03Sonntag,"ab 35,00 €",1 Einheit,BALANCE Neumarkt,"Deininger Weg 94, 92318 Neumarkt in der Oberpfalz",https://www.eversports.de/e/workshop/FWO9nVb
POLE STAR I Easy but Beautiful I Julia Pengler ,März10Sonntag,"ab 45,00 €",1 Einheit,BALANCE Neumarkt,"Deininger Weg 94, 92318 Neumarkt in der Oberpfalz",https://www.eversports.de/e/workshop/wHwtdS-
POLE STAR I Static Low Flow I Julia Pengler ,März10Sonntag,"ab 45,00 €",1 Einheit,BALANCE Neumarkt,"Deininger Weg 94, 92318 Neumarkt in der Oberpfalz",https://www.eversports.de/e/workshop/D7_g8hU
 POLE STAR I My favorite Tricks & Combos I Julia Pengler ,März10Sonntag,"ab 45,00 €",1 Einheit,BALANCE Neumarkt,"Deininger Weg 94, 92318 Neumarkt in der Oberpfalz",https://www.eversports.de/e/workshop/yXJE2Qf
WORKSHOP WEEKEND mit Lena & Lea ,Jan06bis Jan 07,"ab 30,00 €",3 Einheiten,Polea - Pole and Aerial Dance,"Budenheimer Parkallee 5, 55257 Budenheim",https://www.eversports.de/e/workshop/vbWTF3c
Split Tricks - Spreadies to the Gods (intermediate),Jan27Samstag,"ab 60,00 €",1 Einheit,Nordpole,"Mendelssohnstraße 15B, 22761 Hamburg",https://www.eversports.de/e/workshop/_tC1Os0
Stripperella (all level),Jan27Samstag,"ab 60,00 €",1 Einheit,Nordpole,"Mendelssohnstraße 15B, 22761 Hamburg",https://www.eversports.de/e/workshop/eNLYiTi
